Year,Top_Yearly_Artist,Top_Yearly_Plays,Top_Track,Top_Track_Artist,Top_Track_Plays,Top_Album,Top_Album_Artist,Top_Album_Plays
2008,Modest Mouse,"1,833",The World May Never Know,Dr. Dog,80,All the Classic Sides - 1928-1937,Big Bill Broonzy,705
2008,The Beatles,"1,795",Without You,Harry Nilsson,76,In the Aeroplane Over the Sea,Neutral Milk Hotel,518
2008,Belle and Sebastian,"1,427",Fools Life,Dr. Dog,68,Dead Ringer,RJD2,501
2008,Otis Redding,"1,421",Knife,Grizzly Bear,67,Easy Beat,Dr. Dog,482
2008,of Montreal,919,Got My Mojo Working,Muddy Waters,64,Yellow House,Grizzly Bear,440
2009,Department of Eagles,"2,108",Phantom Other,Department of Eagles,166,In Ear Park,Department of Eagles,"1,418"
2009,Modest Mouse,"2,015",Teenagers,Department of Eagles,164,"No Shouts, No Calls",Electrelane,"1,199"
2009,Grizzly Bear,"1,646",No One Does It Like You,Department of Eagles,158,All the Classic Sides - 1928-1937,Big Bill Broonzy,932
2009,Electrelane,"1,320",In Ear Park,Department of Eagles,147,The Whitey on the Moon UK LP,Department of Eagles,690
2009,Devendra Banhart,"1,256",Around the Bay,Department of Eagles,144,Something For Everyone,E-603,645
2010,Electrelane,"2,896",To the East,Electrelane,152,"No Shouts, No Calls",Electrelane,"1,401"
2010,Modest Mouse,"1,766",At Sea,Electrelane,146,All the Classic Sides - 1928-1937,Big Bill Broonzy,838
2010,The Hood Internet,"1,735",After the Call,Electrelane,140,The Power Out,Electrelane,715
2010,The Walkmen,"1,269",The Greater Times,Electrelane,140,Psychic Chasms,Neon Indian,669
2010,Belle and Sebastian,936,Tram 21,Electrelane,140,thehoodinternet.com,The Hood Internet,542
2011,The Walkmen,"1,238",Home,LCD Soundsystem,89,You & Me,The Walkmen,516
2011,Electrelane,"1,201",Random Rules,Silver Jews,87,"No Shouts, No Calls",Electrelane,381
2011,Modest Mouse,905,Enter the Ninja,Die Antwoord,78,American Water,Silver Jews,319
2011,The Hood Internet,752,In The New Year,The Walkmen,74,Axes,Electrelane,283
2011,Silver Jews,694,Bells,Electrelane,73,Live on WFMU Sep 2008,Silver Jews,278
2012,Modest Mouse,"1,630",Suitcase,Electrelane,72,Axes,Electrelane,345
2012,Electrelane,"1,017",On The Water,The Walkmen,70,"No Shouts, No Calls",Electrelane,286
2012,The Walkmen,788,The Good Life,Weezer,62,Transparent Things,Fujiya & Miyagi,242
2012,Beach House,500,scrambled egs,Dapper Cads,59,You & Me,The Walkmen,239
2012,Yeah Yeah Yeahs,453,All My Friends,LCD Soundsystem,59,This Is a Long Drive for Someone with Nothing to Think About,Modest Mouse,212
2013,Beach House,718,Heart of Chambers,Beach House,74,Devotion,Beach House,275
