artist,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,videoID
Modest Mouse,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,https://www.youtube.com/watch?v=ZQC4XbYvHUo
Electrelane,0,39,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,https://www.youtube.com/watch?v=mlSfPmqiplY
Beach House,0,0,17,25,33,39,40,40,46,47,48,48,48,48,48,48,48,48,https://www.youtube.com/watch?v=s2YiUTh9dj4
The Walkmen,34,31,42,47,48,48,48,48,48,48,47,47,47,47,47,47,47,47,https://www.youtube.com/watch?v=aWR1h-5EzUo
Silver Jews,0,0,12,28,31,31,31,31,38,40,42,46,46,46,46,46,46,46,https://www.youtube.com/watch?v=bPD0JLwpc3k
The Hood Internet,41,35,46,48,47,47,47,47,47,46,46,45,45,45,45,45,45,45,https://www.youtube.com/watch?v=X827AZ_ajAs
Harry Nilsson,14,7,1,0,0,0,0,0,12,34,41,43,43,44,44,44,44,44,https://www.youtube.com/watch?v=8dnUv3DUP4E
Pavement,0,0,0,0,0,0,0,0,0,5,27,37,39,39,39,41,43,43,https://www.youtube.com/watch?v=VPW4UW8lDZI
The Beatles,49,49,48,45,45,45,45,45,43,43,44,44,44,43,43,43,42,42,https://www.youtube.com/watch?v=7cqHtGb9WYM
Department of Eagles,0,46,44,43,44,44,44,44,44,45,45,42,42,42,42,42,41,41,https://www.youtube.com/watch?v=ztuVPMsc5CQ
Belle and Sebastian,48,48,47,46,46,46,46,46,45,44,43,41,41,41,41,40,40,40,https://www.youtube.com/watch?v=k8nMhUZShrM
Bill Callahan,0,0,0,0,0,0,0,0,10,21,31,40,40,40,40,39,39,39,https://www.youtube.com/watch?v=o8x6BHmV_us
Frank Ocean,0,0,0,0,0,0,0,0,0,19,30,38,38,38,38,38,38,38,https://www.youtube.com/watch?v=diIFhc_Kzng
Grizzly Bear,39,47,45,44,43,43,43,43,42,42,40,39,37,37,37,37,37,37,https://www.youtube.com/watch?v=PVdGjSSarIQ
TV on the Radio,32,33,30,30,35,36,36,36,35,33,35,33,33,33,33,34,35,36,https://www.youtube.com/watch?v=qHX-FKTV8Rk
Dr. Dog,43,41,41,41,42,42,42,42,41,41,39,36,36,36,36,36,36,35,https://www.youtube.com/watch?v=2yM5zUvmdf8
The Strokes,30,25,31,35,32,32,34,34,32,32,34,31,32,32,32,32,34,34,https://www.youtube.com/watch?v=BXkm6h6uq0k
LCD Soundsystem,0,0,20,29,34,33,33,33,33,37,36,32,31,31,31,31,31,33,https://www.youtube.com/watch?v=53yEyj0mjfo
Weezer,33,34,36,39,40,40,39,39,39,38,37,35,35,35,35,35,33,32,https://www.youtube.com/watch?v=ENXvZ9YRjbo
Smog,0,0,0,0,0,0,0,0,0,0,5,29,30,30,30,30,30,31,https://www.youtube.com/watch?v=7WlWjyF-XZs
Big Bill Broonzy,42,43,43,42,41,41,41,41,40,39,38,34,34,34,34,33,32,30,https://www.youtube.com/watch?v=6WUNYiu0-KQ
Tierra Whack,0,0,0,0,0,0,0,0,0,0,0,26,29,29,29,29,29,29,https://www.youtube.com/watch?v=_xnpy8HL-y8
Otis Redding,47,45,39,38,39,38,38,38,37,36,33,30,28,28,28,28,28,28,https://www.youtube.com/watch?v=RqNc4XLBguI
Pixies,36,42,40,40,38,37,37,37,36,35,32,28,26,26,26,27,27,27,https://www.youtube.com/watch?v=tVCUAXOBF7w
Kyle Dixon & Michael Stein,0,0,0,0,0,0,0,0,0,2,20,24,27,27,27,26,25,26,https://www.youtube.com/watch?v=Ha2OcL_0gtM
Explosions in the Sky,0,0,4,6,8,13,16,16,26,29,26,27,25,25,25,25,26,25,https://www.youtube.com/watch?v=fPdcWom3DXU
Current Joys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,24,https://www.youtube.com/watch?v=5XtjPMdPN1o
WU LYF,0,0,0,0,0,0,0,0,15,26,24,21,22,22,22,22,24,23,https://www.youtube.com/watch?v=jnmaNUMan9E
Devendra Banhart,31,44,38,37,37,35,35,35,34,31,29,25,23,23,23,23,22,22,https://www.youtube.com/watch?v=o1vua2Wl5Aw
The Kinks,1,36,37,36,36,34,32,32,31,30,28,23,24,24,24,24,23,21,https://www.youtube.com/watch?v=qG3JyuAUE2E
The Beach Boys,37,29,23,19,19,20,19,19,25,28,25,22,21,21,21,21,21,20,https://www.youtube.com/watch?v=v3GPRIZw_J0
of Montreal,46,38,34,33,30,30,30,30,30,27,23,18,18,18,18,18,18,18,https://www.youtube.com/watch?v=f3RAI8Ntamw
Hamilton Leithauser,0,0,0,0,0,0,0,0,0,0,7,8,8,8,8,12,15,19,https://www.youtube.com/watch?v=WQU-WPUzxWI
Al Green,25,21,21,20,23,23,26,26,24,22,18,20,20,20,20,20,19,17,https://www.youtube.com/watch?v=1a6sqKfrSMw
Ratatat,0,19,18,16,16,17,17,17,18,16,16,19,19,19,19,19,17,16,https://www.youtube.com/watch?v=xlcywgEMuGI
Beirut,45,40,35,34,28,28,28,28,29,25,22,17,17,17,17,17,16,15,https://www.youtube.com/watch?v=X61BVv6pLtw
The Apples in Stereo,0,17,32,31,27,27,27,27,28,23,19,16,16,16,16,16,13,14,https://www.youtube.com/watch?v=VqbOg_b84TU
Brian Eno,28,37,33,32,29,29,29,29,27,24,21,15,14,14,14,14,12,13,https://www.youtube.com/watch?v=Gt3rKxRvmO4
RJD2,44,32,26,23,24,22,23,23,22,18,17,14,15,15,15,15,14,12,https://www.youtube.com/watch?v=hY08FkhpPjk
Neutral Milk Hotel,38,28,27,26,26,26,25,25,23,20,15,13,13,13,13,13,11,11,https://www.youtube.com/watch?v=1FeD16vu_qQ
Yeah Yeah Yeahs,0,0,0,0,5,8,10,10,8,8,12,9,9,9,9,9,10,10,https://www.youtube.com/watch?v=oIIxlgcuQRU
Interpol,26,22,19,17,18,18,21,21,20,15,13,11,10,10,10,7,8,9,https://www.youtube.com/watch?v=OC5zHACynR4
Tiny Tim,0,0,0,0,0,0,0,0,1,7,10,10,11,11,11,8,7,8,https://www.youtube.com/watch?v=xBTa7Xopu9Q
Arcade Fire,10,18,25,22,21,25,24,24,21,17,14,12,12,12,12,10,9,7,https://www.youtube.com/watch?v=8vN2vqaEBhM
The Ink Spots,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,6,6,6,https://www.youtube.com/watch?v=zyLZ_KScE9s
