team,birth_country,count
Australia,Australia,28
Australia,South Africa,2
Brazil,Brazil,24
Brazil,USA,4
Brazil,Japan,1
Brazil,Venezuela,1
Canada,Canada,23
Canada,USA,4
Canada,Bermuda,1
Canada,Dominican Republic,1
Canada,Slovakia,1
Chinese Taipei,Chinese Taipei,29
Chinese Taipei,USA,2
Colombia,Colombia,24
Colombia,Venezuela,4
Colombia,USA,2
Cuba,Cuba,30
Czechia,Czechia,26
Czechia,USA,3
Czechia,Canada,1
Dominican Republic,Dominican Republic,27
Dominican Republic,USA,2
Dominican Republic,Canada,1
Great Britain,USA,23
Great Britain,Bahamas,5
Great Britain,Great Britain,2
Israel,USA,29
Israel,Israel,1
Italy,USA,23
Italy,Italy,3
Italy,Venezuela,2
Italy,Canada,1
Japan,Japan,30
Korea,Korea,27
Korea,USA,3
Mexico,Mexico,15
Mexico,USA,14
Mexico,Cuba,1
Netherlands,Netherlands,28
Netherlands,USA,2
Nicaragua,Nicaragua,26
Nicaragua,USA,2
Nicaragua,Colombia,1
Nicaragua,Guatemala,1
Panama,Panama,27
Panama,USA,2
Panama,Canada,1
Puerto Rico,Puerto Rico,25
Puerto Rico,USA,5
Venezuela,Venezuela,30
USA,USA,30
