Rank,Player,Team,Season,GP,G,PPG,SHG,EVG,A,P
1,Paul Coffey,Edmonton Oilers,1985-86,79,48,9,9,30,90,138
2,Bobby Orr,Boston Bruins,1974-75,80,46,16,2,28,89,135
3,Paul Coffey,Edmonton Oilers,1983-84,80,40,14,1,25,86,126
4,Doug Wilson,Chicago Blackhawks,1981-82,76,39,14,1,24,46,85
5,Bobby Orr,Boston Bruins,1971-72,76,37,11,4,22,80,117
6,Bobby Orr,Boston Bruins,1970-71,78,37,5,3,29,102,139
7,Paul Coffey,Edmonton Oilers,1984-85,80,37,12,2,23,84,121
8,Kevin Hatcher,Washington Capitals,1992-93,83,34,13,1,20,45,79
9,Bobby Orr,Boston Bruins,1969-70,76,33,11,4,18,87,120
10,Bobby Orr,Boston Bruins,1973-74,74,32,11,0,21,90,122
