season_start_year,games,richard
1917,22,N
1918,18,N
1919,24,N
1920,24,N
1921,24,N
1922,24,N
1923,24,N
1924,30,N
1925,36,N
1926,44,N
1927,44,N
1928,44,N
1929,44,N
1930,44,N
1931,48,N
1932,48,N
1933,48,N
1934,48,N
1935,48,N
1936,48,N
1937,48,N
1938,48,N
1939,48,N
1940,48,N
1941,48,N
1942,50,N
1943,50,N
1944,50,Y
1945,50,N
1946,60,N
1947,60,N
1948,60,N
1949,70,N
1950,70,N
1951,70,N
1952,70,N
1953,70,N
1954,70,N
1955,70,N
1956,70,N
1957,70,N
1958,70,N
1959,70,N
1960,70,N
1961,70,N
1962,70,N
1963,70,N
1964,70,N
1965,70,N
1966,70,N
1967,74,N
1968,76,N
1969,76,N
1970,78,N
1971,78,N
1972,78,N
1973,78,N
1974,80,N
1975,80,N
1976,80,N
1977,80,N
1978,80,N
1979,80,N
1980,80,N
1981,80,N
1982,80,N
1983,80,N
1984,80,N
1985,80,N
1986,80,N
1987,80,N
1988,80,N
1989,80,N
1990,80,N
1991,80,N
1992,84,N
1993,84,N
1994,48,N
1995,82,N
1996,82,N
1997,82,N
1998,82,N
1999,82,N
2000,82,N
2001,82,N
2002,82,N
2003,82,N
2004,0,N
2005,82,N
2006,82,N
2007,82,N
2008,82,N
2009,82,N
2010,82,N
2011,82,N
2012,48,N
2013,82,N
2014,82,N
2015,82,N
2016,82,N
2017,82,N
2018,82,N
2019,70,N
2020,56,N
2021,82,N
2022,82,N
2023,82,N
2024,82,N
2025,82,N
