player,season,goals,had_50_plus_season
Alex Ovechkin,2017-18,49,Y
Artemi Panarin,2023-24,49,N
Frank Mahovlich,1968-69,49,N
Gordie Howe,1952-53,49,N
Jimmy Carson,1988-89,49,N
Kent Nilsson,1980-81,49,N
Michel Goulet,1986-87,49,Y
Mike Gartner,1990-91,49,Y
Phil Esposito,1968-69,49,Y
Rick MacLeish,1976-77,49,Y
Rick Martin,1975-76,49,Y
Rick Middleton,1982-83,49,Y
Rob Brown,1988-89,49,N
Steve Shutt,1977-78,49,Y
Alex Ovechkin,2019-20,48,Y
Bill Goldsworthy,1973-74,48,N
Brian Gionta,2005-06,48,N
Connor McDavid,2025-26,48,Y
David Pastrnak,2019-20,48,Y
Filip Forsberg,2023-24,48,N
Frank Mahovlich,1960-61,48,N
Glenn Anderson,1982-83,48,Y
Joe Sakic,1990-91,48,Y
Joe Sakic,1992-93,48,Y
Mario Lemieux,1985-86,48,Y
Mark Messier,1982-83,48,Y
Markus Naslund,2002-03,48,N
Michel Goulet,1987-88,48,Y
Mike Bullard,1987-88,48,N
Mike Gartner,1987-88,48,Y
Mike Gartner,1980-81,48,Y
Paul Coffey,1985-86,48,N
Pierre Larouche,1983-84,48,Y
Rick Tocchet,1992-93,48,N
Teemu Selanne,2006-07,48,Y
Tim Kerr,1988-89,48,Y
Ziggy Palffy,1996-97,48,N
Auston Matthews,2019-20,47,Y
Brendan Shanahan,1996-97,47,Y
Bryan Trottier,1978-79,47,Y
Dale Hawerchuk,1986-87,47,Y
Dave Taylor,1980-81,47,N
David Pastrnak,2023-24,47,Y
Denis Savard,1985-86,47,N
Eric Lindros,1995-96,47,N
Evgeni Malkin,2007-08,47,Y
Gordie Howe,1951-52,47,N
Jaromir Jagr,1996-97,47,Y
Jean Beliveau,1955-56,47,N
Joe Mullen,1986-87,47,Y
John Tavares,2018-19,47,N
Kirill Kaprizov,2021-22,47,N
Kyle Connor,2021-22,47,N
Lanny McDonald,1977-78,47,N
Marcel Dionne,1974-75,47,Y
Mark Messier,1995-96,47,Y
Mats Sundin,1992-93,47,N
Pat LaFontaine,1987-88,47,Y
Peter Stastny,1982-83,47,N
Rick Middleton,1983-84,47,Y
Simon Gagne,2005-06,47,N
Steve Shutt,1979-80,47,Y
Tage Thompson,2022-23,47,N
Teemu Selanne,1998-99,47,Y
Yvan Cournoyer,1971-72,47,N
