player,season,goals,ppg,shg,evg,ppg_pct
Leon Draisaitl,2022-23,52,32,1,19,61.5
Joe Nieuwendyk,1987-88,51,31,3,17,60.8
Dave Andreychuk,1992-93,54,32,0,22,59.3
Tim Kerr,1985-86,58,34,0,24,58.6
Brett Hull,1992-93,54,29,0,25,53.7
Michel Goulet,1985-86,53,28,0,25,52.8
Ilya Kovalchuk,2005-06,52,27,0,25,51.9
Chris Kreider,2021-22,52,26,3,23,50.0
Sam Reinhart,2023-24,57,27,5,25,47.4
Kevin Stevens,1992-93,55,26,0,29,47.3
Mike Bossy,1977-78,53,25,0,28,47.2
Alex Ovechkin,2014-15,53,25,0,28,47.2
Alex Ovechkin,2013-14,51,24,0,27,47.1
Steven Stamkos,2009-10,51,24,1,26,47.1
Vic Hadfield,1971-72,50,23,0,27,46.0
Dany Heatley,2005-06,50,23,2,25,46.0
Cam Neely,1989-90,55,25,0,30,45.5
Mario Lemieux,1995-96,69,31,8,30,44.9
Tim Kerr,1986-87,58,26,0,32,44.8
Jaromir Jagr,2005-06,54,24,0,30,44.4
Phil Esposito,1974-75,61,27,4,30,44.3
Jeremy Roenick,1992-93,50,22,3,25,44.0
Brett Hull,1993-94,57,25,3,29,43.9
Leon Draisaitl,2021-22,55,24,1,30,43.6
Johnny Bucyk,1970-71,51,22,0,29,43.1
Jonathan Cheechoo,2005-06,56,24,2,30,42.9
Dino Ciccarelli,1986-87,52,22,0,30,42.3
Rick MacLeish,1972-73,50,21,2,27,42.0
Pavel Bure,1993-94,60,25,4,31,41.7
Jeremy Roenick,1991-92,53,22,3,28,41.5
Pierre Turgeon,1992-93,58,24,0,34,41.4
Mickey Redmond,1973-74,51,21,0,30,41.2
Mike Bossy,1980-81,68,28,2,38,41.2
Charlie Simmer,1980-81,56,23,0,33,41.1
Phil Esposito,1971-72,66,27,2,37,40.9
Bobby Hull,1965-66,54,22,1,31,40.7
Alex Ovechkin,2005-06,52,21,3,28,40.4
Rick Martin,1974-75,52,21,0,31,40.4
Keith Tkachuk,1995-96,50,20,2,28,40.0
Cam Neely,1993-94,50,20,0,30,40.0
Jimmy Carson,1987-88,55,22,0,33,40.0
Paul Kariya,1995-96,50,20,3,27,40.0
