player,season,goals,shg,ppg,evg,shg_pct
Hakan Loob,1987-88,50,8,9,33,16.0
Mario Lemieux,1988-89,85,13,31,41,15.3
Wayne Gretzky,1984-85,73,11,8,54,15.1
Mario Lemieux,1987-88,70,10,22,38,14.3
Wayne Gretzky,1983-84,87,12,20,55,13.8
Theo Fleury,1990-91,51,7,9,35,13.7
Brendan Shanahan,1993-94,52,7,15,30,13.5
Steve Yzerman,1992-93,58,7,13,38,12.1
Steve Yzerman,1987-88,50,6,10,34,12.0
Joe Sakic,1995-96,51,6,17,28,11.8
Pavel Bure,1997-98,51,6,13,32,11.8
Steve Yzerman,1990-91,51,6,12,33,11.8
Pavel Bure,1992-93,60,7,13,40,11.7
Mario Lemieux,1995-96,69,8,31,30,11.6
Bernie Nicholls,1988-89,70,8,21,41,11.4
Steve Yzerman,1989-90,62,7,16,39,11.3
Wayne Gretzky,1986-87,62,7,13,42,11.3
