Name,Total Goals,Active,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Alexander Ovechkin,897,y,0,0,52,46,65,56,50,32,38,32,51,53,50,33,49,51,48,24,50,42,31,44,0,0,0,0,0,0
Wayne Gretzky,894,,51,55,92,71,87,73,52,62,40,54,40,41,31,16,38,11,23,25,23,9,0,0,0,0,0,0,0,0
Jaromir Jagr,766,,27,32,34,32,32,62,47,35,44,42,52,31,36,31,0,54,30,25,0,0,0,19,16,24,17,27,16,1
Brett Hull,741,,0,0,0,0,1,32,41,72,86,70,54,57,29,43,42,27,32,24,39,30,37,25,0,0,0,0,0,0
Marcel Dionne,731,,0,0,28,40,24,47,40,53,36,59,53,58,50,56,39,46,36,28,31,7,0,0,0,0,0,0,0,0
Phil Esposito,717,,0,0,0,3,23,27,21,35,49,43,76,66,55,68,61,35,34,38,42,34,7,0,0,0,0,0,0,0
Mike Gartner,708,,0,0,36,48,35,38,40,50,35,41,48,33,45,49,40,45,34,12,35,32,12,0,0,0,0,0,0,0
Mark Messier,694,,12,23,50,48,37,23,35,37,37,33,45,12,35,25,26,14,47,36,22,13,17,24,7,18,18,0,0,0
Steve Yzerman,692,,39,30,14,31,50,65,62,51,45,58,24,12,36,22,24,29,35,18,13,2,18,14,0,0,0,0,0,0
Mario Lemieux,690,,0,43,48,54,70,85,45,19,44,69,17,69,50,35,6,28,1,0,7,0,0,0,0,0,0,0,0,0
Teemu Selanne,684,,0,0,0,0,76,25,22,40,51,52,47,33,33,29,28,16,0,40,48,12,27,27,31,26,12,9,0,0
Luc Robitaille,668,,0,0,45,53,46,52,45,44,63,44,23,23,24,16,39,36,37,30,11,22,0,15,0,0,0,0,0,0
Brendan Shanahan,656,,7,22,30,29,33,51,52,20,44,47,28,31,41,31,37,30,25,0,40,29,23,6,0,0,0,0,0,0
Dave Andreychuk,640,,0,14,38,31,36,25,30,28,40,36,41,54,53,22,28,27,14,15,20,20,21,20,21,0,6,0,0,0
Jarome Iginla,625,,0,21,13,28,29,31,52,35,41,35,39,50,35,32,43,32,14,30,29,22,14,0,0,0,0,0,0,0
Joe Sakic,625,,0,23,39,48,29,48,28,19,51,22,27,41,28,54,26,26,33,0,32,36,13,2,0,0,0,0,0,0
Sidney Crosby,625,y,39,36,24,33,51,32,8,15,36,28,36,44,29,35,16,24,31,33,42,33,0,0,0,0,0,0,0,0
Bobby Hull,610,,13,18,39,31,50,31,43,39,54,52,44,58,38,44,50,0,0,0,0,0,0,0,27,0,0,0,0,0
Dino Ciccarelli,608,,0,0,18,55,37,38,15,44,52,41,44,41,21,38,41,28,16,22,35,16,6,0,0,0,0,0,0,0
Jari Kurri,601,,0,0,32,32,45,52,71,68,54,43,44,33,0,23,27,31,10,18,13,5,0,0,0,0,0,0,0,0
Steven Stamkos,582,y,23,51,45,60,29,25,43,36,9,27,45,29,17,42,34,40,27,0,0,0,0,0,0,0,0,0,0,0
Mark Recchi,577,,0,0,1,30,40,43,53,40,16,28,34,32,16,28,27,22,20,26,0,28,24,14,23,18,14,0,0,0
Mike Bossy,573,,0,0,53,69,51,68,64,60,51,58,61,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Nieuwendyk,564,,0,0,5,51,51,45,45,22,38,36,21,14,30,39,28,15,29,25,17,22,0,26,5,0,0,0,0,0
Mike Modano,561,,0,29,28,33,33,50,12,36,35,21,34,38,33,34,28,14,0,27,22,21,15,14,4,0,0,0,0,0
Guy Lafleur,560,,0,0,29,28,21,53,56,56,60,52,50,27,27,27,30,2,0,0,0,18,12,12,0,0,0,0,0,0
Johnny Bucyk,556,,0,0,1,10,21,24,16,19,20,27,18,26,27,18,30,24,31,51,32,40,31,29,36,20,5,0,0,0
Michel Goulet,548,,0,22,32,42,57,56,55,53,49,48,26,20,27,22,23,16,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Richard,544,,0,0,0,5,32,50,27,45,28,20,43,42,27,28,37,38,38,33,15,17,19,0,0,0,0,0,0,0
Keith Tkachuk,538,,0,3,28,41,22,50,52,40,36,22,35,38,31,33,15,27,27,25,13,0,0,0,0,0,0,0,0,0
Bryan Trottier,524,,0,32,30,46,47,42,31,50,34,40,28,37,23,30,17,13,9,11,4,0,0,0,0,0,0,0,0,0
Dale Hawerchuk,518,,45,40,37,53,46,47,44,41,26,31,23,16,35,5,17,12,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Turgeon,515,,14,34,40,32,40,58,38,24,38,26,22,31,26,30,15,12,15,0,16,4,0,0,0,0,0,0,0,0
Evgeni Malkin,514,y,0,0,33,47,35,28,15,50,9,23,28,27,33,42,21,25,8,20,27,27,16,0,0,0,0,0,0,0
Jeremy Roenick,513,,9,26,41,53,50,46,10,32,29,24,24,34,30,21,27,19,0,9,11,14,4,0,0,0,0,0,0,0
Peter Bondra,503,,0,0,0,0,12,28,37,24,34,52,46,52,31,21,45,39,30,26,0,21,5,0,0,0,0,0,0,0
