artist,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,videoID
Modest Mouse,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,https://www.youtube.com/watch?v=ZQC4XbYvHUo
The Beatles,49,49,48,45,45,45,45,45,43,43,44,44,44,43,43,43,42,42,
Belle and Sebastian,48,48,47,46,46,46,46,46,45,44,43,41,41,41,41,40,40,40,
Otis Redding,47,45,39,38,39,38,38,38,37,36,33,30,28,28,28,28,28,28,
of Montreal,46,38,34,33,30,30,30,30,30,27,23,18,18,18,18,18,18,19,
Beirut,45,40,35,34,28,28,28,28,29,25,22,17,17,17,17,17,16,15,
RJD2,44,32,26,23,24,22,23,23,22,18,17,14,15,15,15,15,14,12,
Dr. Dog,43,41,41,41,42,42,42,42,41,41,39,36,36,36,36,36,36,35,
Big Bill Broonzy,42,43,43,42,41,41,41,41,40,39,38,34,34,34,34,33,32,30,
The Hood Internet,41,35,46,48,47,47,47,47,47,46,46,45,45,45,45,45,45,45,
Guided by Voices,40,27,28,24,22,21,20,20,17,13,6,0,0,0,0,0,0,0,
Grizzly Bear,39,47,45,44,43,43,43,43,42,42,40,39,37,37,37,37,37,37,
Neutral Milk Hotel,38,28,27,26,26,26,25,25,23,20,15,13,13,13,13,13,11,11,
The Beach Boys,37,29,23,19,19,20,19,19,25,28,25,22,21,21,21,21,21,20,
Pixies,36,42,40,40,38,37,37,37,36,35,32,28,26,26,26,27,27,27,
Muddy Waters,35,23,13,11,10,7,7,7,9,9,4,3,6,6,6,5,5,3,
The Walkmen,34,31,42,47,48,48,48,48,48,48,47,47,47,47,47,47,47,47,
Weezer,33,34,36,39,40,40,39,39,39,38,37,35,35,35,35,35,33,32,
TV on the Radio,32,33,30,30,35,36,36,36,35,33,35,33,33,33,33,34,35,36,
Devendra Banhart,31,44,38,37,37,35,35,35,34,31,29,25,23,23,23,23,22,22,
The Strokes,30,25,31,35,32,32,34,34,32,32,34,31,32,32,32,32,34,34,
Daniel Johnston,29,15,9,10,9,9,11,11,6,3,3,5,4,4,4,3,2,0,
Brian Eno,28,37,33,32,29,29,29,29,27,24,21,15,14,14,14,14,12,13,
Girl Talk,27,24,16,15,13,11,9,9,4,0,0,0,0,0,0,0,0,0,
Interpol,26,22,19,17,18,18,21,21,20,15,13,11,10,10,10,7,8,9,
Al Green,25,21,21,20,23,23,26,26,24,22,18,20,20,20,20,20,19,17,
Joanna Newsom,24,14,10,7,4,3,3,3,0,0,0,0,0,0,0,0,0,0,
Ambulance Ltd,23,16,14,14,14,14,13,13,14,12,11,6,5,5,5,2,1,5,
The Moldy Peaches,22,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sondre Lerche,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dan Deacon,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sigur Ros,19,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Animal Collective,18,26,22,18,17,16,15,15,13,4,0,0,0,0,0,0,0,0,
Bob Dylan,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The White Stripes,16,20,24,21,20,19,18,18,16,11,2,0,0,0,0,0,0,0,
Squirrel Nut Zippers,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Harry Nilsson,14,7,1,0,0,0,0,0,12,34,41,43,43,44,44,44,44,44,
Panda Bear,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Architecture in Helsinki,12,13,15,12,11,10,8,8,5,0,0,0,0,0,0,0,0,0,
E-603,11,30,29,27,25,24,22,22,19,14,8,0,0,0,0,0,0,0,
Arcade Fire,10,18,25,22,21,25,24,24,21,17,14,12,12,12,12,10,9,7,
Franz Ferdinand,9,11,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OutKast,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Starlight Mints,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MGMT,6,8,5,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,
Sonic Youth,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Muse,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Doors,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RISD Students,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Kinks,1,36,37,36,36,34,32,32,31,30,28,23,24,24,24,24,23,21,
Electrelane,0,39,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,
Beach House,0,0,17,25,33,39,40,40,46,47,48,48,48,48,48,48,48,48,
Silver Jews,0,0,12,28,31,31,31,31,38,40,42,46,46,46,46,46,46,46,
Pavement,0,0,0,0,0,0,0,0,0,5,27,37,39,39,39,41,43,43,
Department of Eagles,0,46,44,43,44,44,44,44,44,45,45,42,42,42,42,42,41,41,
Bill Callahan,0,0,0,0,0,0,0,0,10,21,31,40,40,40,40,39,39,39,
Frank Ocean,0,0,0,0,0,0,0,0,0,19,30,38,38,38,38,38,38,38,
LCD Soundsystem,0,0,20,29,34,33,33,33,33,37,36,32,31,31,31,31,31,33,
Smog,0,0,0,0,0,0,0,0,0,0,5,29,30,30,30,30,30,31,
Tierra Whack,0,0,0,0,0,0,0,0,0,0,0,26,29,29,29,29,29,29,
Explosions in the Sky,0,0,4,6,8,13,16,16,26,29,26,27,25,25,25,25,26,25,
Kyle Dixon & Michael Stein,0,0,0,0,0,0,0,0,0,2,20,24,27,27,27,26,25,26,
WU LYF,0,0,0,0,0,0,0,0,15,26,24,21,22,22,22,22,24,23,
Current Joys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,24,
Ratatat,0,19,18,16,16,17,17,17,18,16,16,19,19,19,19,19,17,16,
Hamilton Leithauser,0,0,0,0,0,0,0,0,0,0,7,8,8,8,8,12,15,18,
The Apples in Stereo,0,17,32,31,27,27,27,27,28,23,19,16,16,16,16,16,13,14,
Yeah Yeah Yeahs,0,0,0,0,5,8,10,10,8,8,12,9,9,9,9,9,10,10,
Tiny Tim,0,0,0,0,0,0,0,0,1,7,10,10,11,11,11,8,7,8,
The Ink Spots,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,6,6,6,
Yo La Tengo,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,4,4,4,
A Silver Mt. Zion,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,3,2,
David Bowie,0,0,0,5,12,12,12,12,7,10,9,4,2,2,2,1,0,0,
Neon Indian,0,0,11,13,15,15,14,14,11,6,1,0,0,0,0,0,0,0,
Donovan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Danger Mouse,0,4,2,8,7,6,6,6,2,0,0,0,0,0,0,0,0,0,
Edward Sharpe & The Magnetic Zeros,0,0,8,9,6,5,4,4,0,0,0,0,0,0,0,0,0,0,
Chromeo,0,0,0,0,3,4,5,5,3,0,0,0,0,0,0,0,0,0,
Los Camesinos!,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,
Purple Mountains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
